humanGene,EnsNum,x00511204,x7d9d7119,x93904035,a154c740,a6f657a3,bfe796aa,cbf61237,d578e27f,e1f960fc,e29ce54a
RMND5A,ENSG00000153561.11,16.0546348885,15.6436361402,151243.109382,2123,549953.824845,153,16.4413743419,16.1267035586,22.5096888809,11.3589638951
RAD23A,ENSG00000179262.8,38.9356481105,21.5142980465,775745.038464,11990,715245.269043,50906,35.4662276409,58.9966611414,23.9209109031,42.194119846
RAD17,ENSG00000152942.17,6.71326600879,5.55100617026,151541.361155,2056,226407.609887,677,11.203721358,15.4666728267,10.8745863851,8.66798470739
TTDN1 (C7orf11),ENSG00000168303.6,1.85918994126,3.36634373043,49263.8903263,1021,46710.7876155,792,3.27972843824,2.36782757628,1.71648597228,3.96171955766
RAD54L,ENSG00000085999.10,0.00970150764521,4.41325732573,15129.8861733,3602,58631.9582515,2362,1.31645800541,2.45043550239,3.22875456101,2.96312265075
UBE2N,ENSG00000177889.8,10.5477997615,8.83952862957,359788.007983,1888,346287.887772,1445,12.7536468937,21.4407047797,56.5120071833,12.994490059
TMEM30A,ENSG00000112697.14,24.071953429,65.9105478055,702850.166466,3049,1707226.0994,12714,49.1552426641,30.7936467065,21.0098590088,26.3429579615
POLG,ENSG00000140521.10,11.0086481904,14.6093304994,264802.654955,1282,137476.742229,808,7.21459088347,13.4034477237,8.23028262645,10.4453354361
TIPIN,ENSG00000075131.8,1.0519040137,3.4787739239,46372.2363056,4821,121721.65833,1237,2.11353962407,2.81795635523,4.03204585152,2.54515762323
RECQL,ENSG00000004700.14,7.34079033224,13.8899052998,156082.413636,6024,313349.865584,1750,7.83096293809,8.12022955853,9.01898681786,4.97671176612
BRCA2 (FANCD1),ENSG00000139618.13,0.0304680934309,2.60236876714,8123.47419519,14768,95622.3256807,7,0.983898113477,0.408106426047,2.15966543612,0.894183802196
RPA3,ENSG00000106399.10,2.73817849196,11.9965343474,98123.2266513,4408,123365.447513,3778,7.15925269458,6.7855531124,5.56796125346,9.87404941326
RNASEH2B,ENSG00000136104.17,2.25140800487,2.16690519349,51635.1402182,35,45568.4426036,4,2.82353755124,2.25518305268,3.32844980127,2.59011351529
RAD18,ENSG00000070950.8,1.03082443513,5.06228468473,48787.2494237,6950,371285.639449,4919,3.92308398242,2.94336500979,4.17107693261,3.48250197789
CAMKK1,ENSG00000004660.13,0.715650842655,1.95868467159,87931.7903047,3,17763.9291323,0,2.0504400873,0.607195736825,3.27069602916,5.8814908892
CAMKK2,ENSG00000110931.17,12.5706008062,11.9000497615,309015.086876,2049,159179.242212,1585,11.1834628773,15.4389103707,12.2125766407,18.2297405187
ATRIP,ENSG00000164053.16,0.0140197551993,0.0531028027418,1652.97601802,4006,153.914053623,4603,0.0582163733684,0.123403755504,0.0306295973354,0.122344030605
SIRT1,ENSG00000096717.10,9.4935317083,9.2120842584,156542.485102,3842,158421.222581,995,8.10321772665,7.07901794782,4.46283231412,7.80186517263
SMG6,ENSG00000070366.12,2.26313174337,2.82828727458,62850.734632,1680,58831.8021871,2153,2.46301405032,3.09492279323,2.29425506306,3.56669331509
CHMP6,ENSG00000176108.8,6.49560367736,9.59062023957,250737.54686,3038,131437.006241,2647,10.3618587106,15.2193101321,8.09473959327,14.553922431
ASF1A,ENSG00000111875.7,6.70393835689,11.6294786377,108878.862214,7246,504688.706915,3045,8.62563842662,6.4957472225,9.45321615465,7.08416308528
ERCC8 (CSA),ENSG00000049167.12,2.1601356507,1.23703638162,33386.3518248,4396,85489.6192973,4273,1.43300403481,1.40610609919,1.99916769133,1.59892819532
SMARCA5,ENSG00000153147.5,8.73332379339,24.7785222392,305560.435122,22,764093.919814,6,23.6172584187,22.3276903001,16.7525896727,15.5712875987
PMS2L3,ENSG00000127957.15,0.622503108394,1.31220192679,38293.1468032,2566,41450.1151949,818,0.891073130861,1.26366986591,1.96446015424,2.6093043137
HDAC2,ENSG00000196591.10,3.68428635878,13.3305535463,149091.922931,3835,989690.420545,347,7.56004213856,5.16710485491,8.43084723933,6.38323303498
ABR,ENSG00000159842.13,6.2966521384,11.1719583314,224635.794777,4497,104479.315073,611,5.54718303733,8.87152245497,8.66715090296,12.615617047
BRIP1 (FANCJ),ENSG00000136492.7,0.066292219179,1.22298459362,7836.97290715,5846,150040.508208,49,2.17039552891,1.41699629746,1.04647951347,1.12540527195
DDB1,ENSG00000167986.12,16.3937174998,25.7220419246,474102.326517,61,483500.819614,0,33.8644763119,33.3797270184,29.0406972811,26.155683694
RAD54L2,ENSG00000164080.12,2.18996320549,4.80968585907,82561.970637,732,93278.383364,139,3.102034081,2.73483316188,1.86318120109,3.22857416859
ASF1B,ENSG00000105011.7,0.148773293455,7.14633733669,65017.1871521,7007,378514.539235,4501,9.97063322355,15.8928397377,15.7492674526,13.640337856
ERCC5 (XPG),ENSG00000134899.16,4.29109464589,5.84486547285,75037.6314849,6,108746.140079,0,3.73512336359,1.99532313352,3.4584055404,4.24290006526
POLQ,ENSG00000051341.12,0.0232051806271,1.52810960187,4636.93344135,1638,58739.2354619,610,0.721213276051,0.631795264211,2.06410901362,0.989775603142
DDX58,ENSG00000107201.8,4.21639601786,37.187666263,188523.152439,404,185608.503687,2,49.0408913541,7.16677796186,7.17338492801,8.25490626465
CHEK1,ENSG00000149554.11,0.525056008308,5.43894701026,17036.2072116,975,154422.148369,5271,1.19019929748,2.80679115024,1.0311912541,2.54715940046
XPA,ENSG00000136936.9,11.160586873,4.86800606372,153607.815741,3305,131996.709181,1794,8.41812570127,4.87948149684,4.79118421516,7.61895678667
FANCG (XRCC9),ENSG00000221829.8,1.20713169837,5.75125981894,76245.4627018,1304,267507.906144,827,5.28236612364,5.22687249607,4.84756366245,9.05071779977
NUP133,ENSG00000069248.11,8.3489579152,11.6632107895,254126.674401,170,500658.316735,21,17.7310877748,10.0503322428,18.6434500071,21.4809364568
RFC5,ENSG00000111445.12,2.17716283789,6.72068897161,80956.0024944,543,236279.342674,154,5.83739515219,9.75618759147,7.99393209653,6.83920147966
UBE2V1,ENSG00000124208.16,0.0169538860481,0,545.159960836,14,186.126026398,2,0.00502858668352,0.0129765536216,0.00411554739516,0.00704518365439
XRCC1,ENSG00000073050.10,5.6574906983,10.840727624,198865.496243,71,287357.760597,4,17.7155407951,17.2934579751,14.9024113956,21.0407984368
ATAD5,ENSG00000176208.7,0.198198715907,1.6799440052,13312.8447708,3593,148650.14948,3858,1.35992742892,1.18327460782,2.40723573383,1.22718535503
CSTF2,ENSG00000101811.12,3.22726174624,8.63501267934,163564.440266,542,201083.256857,518,9.59753709122,10.6740163756,10.1013993763,13.7750156108
PRKD1,ENSG00000184304.13,2.78450663676,1.64973253194,60077.7417569,0,15878.2509142,0,0.689582394352,1.01735354818,0.0940625138315,0.640337516543
FANCA,ENSG00000187741.13,0.092817998576,2.452489166,11320.9162779,1177,51441.4408242,719,0.533990351009,0.681646925957,1.31459782067,1.15910999853
LIG1,ENSG00000105486.12,0.492817704664,4.18381284529,89366.6895835,598,183964.391673,341,4.93118305122,13.1114695236,8.12859850937,11.8916207718
MLH1,ENSG00000076242.13,9.44894982387,14.930840274,188655.907512,3188,646957.678972,1576,12.8628869748,18.0046650454,15.6481070398,13.7812768307
TMEM30B,ENSG00000182107.6,0.906052680012,16.9085452547,182539.088465,1775,39481.8636645,43371,19.5817450608,13.7672163979,9.15643111604,21.7043530285
CHEK2,ENSG00000183765.19,0.342307227503,3.89823290293,63986.0116176,1823,180816.424251,791,2.9956815718,2.35370778519,5.09253085205,3.48423792902
EME1,ENSG00000154920.13,0.0709500058206,1.15736596685,10646.6728235,1989,64182.6276165,433,1.08166365089,1.50425793242,1.46051706358,1.66875248568
RPA1,ENSG00000132383.10,12.5110232769,31.9875452145,332420.120649,1783,1017749.53317,377,15.0780331308,19.4581176887,24.2839612593,21.4430285879
ERCC3 (XPB),ENSG00000163161.11,5.07143854333,7.50185540135,167474.524783,12549,144390.452584,6687,7.80389771444,7.80689348883,3.99835689114,8.73155274044
CSTF2T,ENSG00000177613.8,8.65379208631,12.7546972943,260569.860793,2469,240261.44996,2769,13.4112553848,14.3976964602,13.4085707141,13.5326221726
IFIH1,ENSG00000115267.5,2.95233503902,54.2786029361,107547.249977,82,150273.007296,251,16.8123232893,6.38807104985,4.56067729386,4.74007206832
FEN1,ENSG00000168496.3,4.65280861415,15.3038677312,186409.946608,1251,765789.622184,1009,12.6161821679,20.42919574,19.7214091499,16.2646935111
CSNK2B,ENSG00000204435.12,10.4596806331,20.527451776,416106.67636,3418,492242.069901,4914,14.6342879489,15.430307976,15.888284705,15.0527711029
DNA2,ENSG00000138346.13,0.403361060418,3.82438958737,13279.0751011,21,98950.2287466,1,1.62651273901,1.46280980247,2.17745858503,2.16305232456
RAD1,ENSG00000113456.17,2.13928423994,10.3690408943,86116.6613452,3298,152215.630467,3137,4.45666484378,6.27910516149,7.70077189796,4.33772040902
HIST1H2AG,ENSG00000196787.3,0.124644970226,0.723916287973,1336.00534402,4,16990.9486138,2,0.135557287423,2.18633300935,0.0554720914903,0.73377936155
CDC73,ENSG00000134371.9,9.8950918768,13.2893825287,179638.050391,5244,293104.985661,2184,15.5812477805,6.16995118518,13.7104317036,14.135801635
XRCC6,ENSG00000196419.11,70.6577384061,131.728182043,2047129.53888,0,2385411.44816,0,114.920388252,96.8616611609,115.039252774,73.9371711772
POLE,ENSG00000177084.15,1.0675385041,4.74350720885,64672.6652172,833,129608.162008,45,2.9390383097,5.7878905922,3.13774274344,6.56769080728
SLC25A39,ENSG00000013306.14,15.4613141952,42.1405991021,768837.732186,515,936213.965568,134,37.7067417286,81.9883333876,33.8691400661,58.4855521456
LIG4,ENSG00000174405.12,2.81992552881,9.46767654945,64980.656549,0,187445.17923,0,4.67710142693,1.4475276053,3.1812796734,3.90065337275
FAN1 (MTMR15),ENSG00000198690.8,3.27509991996,2.96313182059,50391.3865833,23,78041.1343884,2,4.66678255074,6.61059769361,7.73229695755,4.35885762929
OGG1,ENSG00000114026.20,1.58428852571,2.15840647897,49337.1949441,2061,93575.0036339,2700,1.78437265072,3.2568653242,1.78910098019,3.11382112323
GEN1,ENSG00000178295.13,0.35700924718,1.65563107501,28254.6999808,6,83673.689316,3,1.30116115414,2.26721743231,4.46590481138,2.00525751249
SLX1A,ENSG00000181625.16,0.00632844081162,0.00479406293911,203.49390902,766,104.213942888,158,0.0168933551825,0.0435942627963,0,0.0157786932048
POLN (POL4P),ENSG00000130997.15,2.27019802331,0.146753835486,6878.15210787,2132,4220.30700407,720,0.953462629363,0.609324066965,0.393845252836,0.752188554489
PBRM1,ENSG00000163939.17,9.87385964161,11.6391545206,149823.159889,1705,203553.536055,1154,13.2161462105,6.65757486519,7.65017466051,6.61334980098
XRCC5,ENSG00000079246.14,41.2830849354,70.5694366272,1339123.42349,352,3713359.11057,40,82.0764151161,60.6194144109,57.9499335281,76.1547637612
HDAC3,ENSG00000171720.8,6.73892991152,13.6737213473,289176.928679,12908,258236.839638,2331,10.3372377389,14.8520943422,13.9657559405,13.1489734692
RBBP8,ENSG00000101773.15,2.56769618001,12.8462637124,218075.120975,2,329601.005132,2,37.5257021888,22.9162648851,9.8800469375,13.0863975014
MRE11A,ENSG00000020922.11,2.75786520479,4.48694487978,63464.1633377,813,126869.178506,239,2.90114135775,5.47649548187,1.9907029605,4.81736903838
XRCC2,ENSG00000196584.2,0.0481577002211,3.01823652349,16620.9195642,2,107906.247394,0,1.43694584457,0.759316898514,3.08388999345,1.61696328444
RNASEH2A,ENSG00000104889.4,1.82627193992,7.93618912839,136860.282605,39,558449.553778,0,11.7900208855,23.2309457751,17.4956340096,19.7760343756
SMARCA1,ENSG00000102038.14,15.95201358,21.6717158976,299016.552472,616,278215.685372,7,15.5225140686,10.8895264425,1.71901877501,14.8960049708
MUS81,ENSG00000172732.10,2.82249384733,3.89481194332,177674.560223,1,96660.6396282,0,5.81794072167,6.57250118423,3.73798425126,9.16199502532
PRKD3,ENSG00000115825.8,5.07845513939,7.24148261216,98742.9759949,118,1151430.43416,22,4.91134118922,2.07973656662,1.3657080847,1.82593705542
UBE2A,ENSG00000077721.14,13.3598807169,12.6844035938,264364.969514,1,305399.789235,0,13.3408986108,15.0232224964,9.43468100968,9.90690493989
RNF8,ENSG00000112130.15,1.72512430274,4.93301857997,64615.9238629,221,127565.442408,24,2.38689534094,3.21035002549,3.01482092811,3.01323844287
EME2,ENSG00000197774.11,0.487105832406,0.845632734587,64320.2746497,279,9432.62132825,85,1.91633259221,7.7725161182,2.98567863052,16.0865067564
RNF10,ENSG00000022840.14,29.9645580597,31.1198594773,586013.848031,1270,349811.4918,396,34.4167821181,43.7747439785,28.7474445926,40.8253172505
CCNT1,ENSG00000129315.8,4.34591742613,3.76619399168,136074.618373,4090,201124.51158,1884,8.37546621289,9.80197471948,10.8709043763,5.06209205465
CDC20,ENSG00000117399.12,0.198771419643,24.607887429,57770.1035044,0,603290.526815,0,8.72780799957,8.1980173417,15.3997038714,11.6179261323
RAD52,ENSG00000002016.15,1.40560258787,1.94932319943,37186.5449276,18,54560.4014568,0,2.0349034115,2.79209288198,1.62480632484,3.27280223451
TCEA2,ENSG00000171703.15,2.77089766172,2.97409608014,142830.433879,1,23723.2775845,0,5.59518336875,7.62911098186,11.8144150026,13.51802903
POLD1,ENSG00000062822.11,0.840288755638,4.05499764382,82297.1591598,0,121791.132433,0,3.60721701253,6.54328826277,3.15779225108,9.60783077776
CUL3,ENSG00000036257.11,5.4291795484,4.23389053974,151411.035892,0,346805.179108,0,7.90255444104,8.41156447595,7.58212823356,8.2556509195
FANCF,ENSG00000183161.4,1.25185127628,4.77206572551,97172.560159,0,199658.291025,0,6.71269676189,8.13746637225,4.89318918579,8.76312916174
TOP3A,ENSG00000177302.13,2.6392744815,5.98715241055,127958.201765,0,303325.527006,0,7.83318306778,4.14886428497,10.6001718992,5.68370408896
PIAS4,ENSG00000105229.5,2.58110127593,5.11807900537,174512.491797,0,216603.678251,0,7.42622812371,9.86155790635,6.90565712831,17.702832569
TUBA1A,ENSG00000167552.12,42.606463624,31.6068771881,2585849.86401,6,2789622.03603,0,49.7168266156,103.470122586,8.95519533904,59.8888718045
SMC6,ENSG00000163029.14,2.44081597589,6.12976578195,69560.9459962,27,265898.544335,20,4.22942274215,2.57288244743,6.3835973289,4.80053249203
RECQL5,ENSG00000108469.13,1.55166351539,2.19875327028,60239.1184377,0,70626.8328988,0,5.95134954934,5.85661353075,3.84949598871,5.75882522245
UBR1,ENSG00000159459.10,3.92026510405,4.91711699298,104762.304625,578,99265.0612311,3,8.03509093484,4.20357796108,9.6368079239,3.75832801519
BCR,ENSG00000186716.18,7.52306695345,8.40089625528,220717.486308,2,170877.23591,1,6.54080150362,6.77755371797,5.42187907638,5.60177741387
GAPDH,ENSG00000111640.13,209.243405653,1048.77877704,11787748.5935,1,26942067.7763,0,474.290314316,698.635108879,848.050046918,539.18165984
TOP3B,ENSG00000100038.18,0.0258073835357,0.0746461804179,1886.01868697,0,2279.46226712,0,0.0772415447973,0.0646463333863,0.0563825655111,0.105292661958
CCNT2,ENSG00000082258.11,3.14494866237,3.8368467885,116519.792145,0,106715.421798,0,8.68072277106,3.43541289153,4.469404254,5.56548096179
REV1,ENSG00000135945.8,4.26165789885,3.82241023523,137422.483015,2,103534.788308,0,5.20361438107,3.04621715002,4.14195597654,4.55525125147
RAD51C,ENSG00000108384.13,2.0900833422,3.41173897577,46566.4354417,2,158604.449973,0,3.9251864815,3.9767886778,2.47388009144,2.0838406294
BLM,ENSG00000197299.9,0.185511900427,2.86471422686,11012.7138723,0,120904.622722,0,1.00947016227,1.16050620457,3.13844821756,1.46766414454
HIST1H2AC,ENSG00000180573.9,12.5261469629,19.9193027706,358330.570013,0,1134435.6202,0,105.183788772,36.9131371069,28.7949677009,36.7976531289
ACTR8,ENSG00000113812.12,5.11945647508,8.28182744065,96725.6697359,0,68718.6124267,0,7.6786296044,8.22697861365,5.27143623075,6.29140271726
RNF4,ENSG00000063978.14,5.7307539612,12.3923203444,309284.318293,0,208330.208498,0,10.6982109572,16.9088813258,15.1438393572,12.2579567105
FANCI (KIAA1794),ENSG00000140525.16,0.419308504654,11.8592165859,47674.5404278,17375,260241.968535,15571,5.41627737805,6.49557883752,12.9975579246,8.46373492121
RIF1,ENSG00000080345.16,2.78660346432,6.27833448776,89025.3478442,0,276305.812612,0,4.67443893012,3.13924447791,3.85131094697,3.15849552593
PRDX5,ENSG00000126432.12,93.2045676016,80.0170871401,3475035.17674,10,1748615.66729,8,147.099252838,253.178831464,214.009160458,186.340129483
PRRC2C,ENSG00000117523.14,8.26317986474,35.236834398,412109.327483,2,897633.71511,0,24.2798486316,10.4622911272,26.4766748401,27.4240567913
PPP2R5A,ENSG00000066027.10,76.9092053213,22.806757393,343562.942879,0,769120.476927,0,29.7537372315,19.104107686,34.1731814956,38.2631660158
RAD54B,ENSG00000197275.11,0.137881604232,1.04246370374,13735.6093412,0,58990.3719922,2,0.305518707753,0.993270403189,0.687133592711,0.960561830733
RPA2,ENSG00000117748.8,13.8288624718,29.551302052,373952.461635,1,751678.807582,1,32.4518982353,20.7853731188,19.0289580359,28.3512950593
CHAF1B,ENSG00000159259.7,0.499261799458,5.07126993365,40918.1003664,0,167440.326198,0,2.73050488362,6.65127099563,1.52085639304,5.48398995297
DCLRE1C (Artemis),ENSG00000152457.16,1.11817926973,4.39766532208,31995.7018051,14,53699.800674,4,1.68969336043,1.39123998583,2.29944597913,1.62118964037
CCS,ENSG00000173992.7,6.74488495916,6.01122009889,277839.42987,1,82759.350225,0,11.5662534503,13.1739136795,15.0477271773,19.2822518994
PRKD2,ENSG00000105287.11,4.58034790055,11.6252663563,238725.707014,0,178509.298949,0,11.0788314897,13.007196016,5.33159340931,15.4718054447
POLL,ENSG00000166169.15,3.69105493011,3.65848918196,114805.256269,0,45018.9235696,0,5.21044060367,6.77242502796,2.6670706182,7.40747637449
EXO1,ENSG00000174371.15,0.0263440456395,4.49596717916,17547.171638,0,405747.521792,0,2.07957202297,1.48203996484,5.85416933909,4.02077310005
RECQL4,ENSG00000160957.11,0.187585383661,2.77520562423,68361.4632476,1,83465.5274652,0,2.41536693886,9.59441526638,9.0804656589,11.6468062302
HDAC8,ENSG00000147099.18,2.10580250404,2.46416617581,61845.1999742,0,38922.6580312,0,4.18826862158,4.48285285698,3.73367142186,4.2537585114
CDK7,ENSG00000134058.9,5.37173962217,6.18692947016,219744.988116,1,244377.08636,0,10.6486008507,15.3443455033,17.1676001887,13.6342389942
MAD2L2,ENSG00000116670.13,2.60145752389,11.2241964874,292251.169005,198,319329.015406,94,7.45743035914,10.7738070677,6.36622809091,7.88279113451
H2AFX,ENSG00000188486.3,2.68365100083,17.9677379945,283094.069179,0,410297.008297,0,16.0112443239,43.3128898304,13.7789750745,39.3285199029
ERCC6 (CSB),ENSG00000225830.9,0.42314617983,2.10670726726,17431.1601178,0,26780.70219,0,1.31407447112,1.1867444901,0.963561083621,0.830639147085
FANCB,ENSG00000181544.12,0.0193849098329,1.7732008609,3739.98385574,22,23143.5990491,3,0.439847270799,0.389478240037,0.857609671209,0.289994222111
HLTF,ENSG00000071794.14,7.86790337455,21.6779886165,124086.153715,1,436909.620445,0,12.3310611986,7.18615431361,19.1784057708,7.15164030899
PRDX1,ENSG00000117450.12,89.0716069262,245.660245784,3101143.15359,4,3387224.70265,0,206.071650791,385.065975074,273.368700061,215.292804483
UBR2,ENSG00000024048.9,7.44838297757,11.9431767582,145256.576501,1,204331.004618,2,10.8526684758,6.77686787689,9.92567655144,8.08363336448
CHTF18,ENSG00000127586.15,0.276532324917,0.913753582469,60296.3872302,2,47272.89602,0,1.66853198147,6.03831876223,5.5294361896,12.5878925793
RAD50,ENSG00000113522.12,7.80067539586,7.01341920407,126442.630425,0,119083.654561,0,11.5992912959,17.4140170137,25.8970143814,11.3527802574
TOPBP1,ENSG00000163781.11,3.91010219338,16.4317813372,126577.022041,0,1232543.2453,0,8.07782593931,9.37379028052,10.4287377192,8.90532733355
DSCC1,ENSG00000136982.5,0.80207577844,5.73145234594,34452.3083816,0,142431.994267,0,1.78424030656,3.53915185218,4.26749378445,2.82063387041
ATRX,ENSG00000085224.19,5.70989714734,6.93254953795,75124.0150816,9,132998.861837,0,7.60836773706,5.25101586788,7.98545707008,4.12012061427
RRM2B (p53R2),ENSG00000048392.10,4.86683790107,11.6795920023,154237.819547,0,329505.214969,0,10.7527017722,17.5012682986,6.48725694707,5.86418204513
